x y
1494.8667436815037 1096.1000006351132
1298.9987470291696 1192.7919881464818
708.6489185937254 399.6093676000225
1504.135267572048 1112.9178726745547
1510.2598417896422 1101.5633813981965
810.2035066706884 702.69318689481
799.6414381642651 684.4807715974162
1508.8538698601326 1094.4390138758947
1509.2872873692913 1100.9880503371387
787.2413604263957 692.7671681276281
709.1242961895842 396.4274643857543
1491.0174624525791 1094.9041715646686
1294.91533078893 1210.3013480413306
1286.530689452732 1196.1339152843761
793.6406566126295 696.5317675079821
1507.6099776515084 1100.8676810663735
806.9165603087803 703.6319312740336
703.8133993316288 390.25290139124525
695.871714195526 395.14542598452573
816.8139186695371 699.3734226500787
784.7807091047347 695.2669679075375
808.5627318056968 699.8955551708284
1295.9434372181897 1197.4299089476576
698.4981969679517 401.3923568338676
1290.7366471552602 1197.2333673784142
1502.3642051291015 1086.2195749927862
781.7775737353055 707.6291292129505
700.6483271915403 405.916780835966
799.9444604700561 690.6475041076288
707.932515205719 394.695304635434
705.5427289324522 419.54180026855533
1494.623903483144 1095.2367031103806
1301.3990302781335 1218.2252941999668
1291.9247542491632 1199.7274926590758
1307.1433891091249 1194.784572925866
1501.827399004902 1098.201355884732
709.2148166706505 403.13166341836506
702.5781109776422 398.0854799405369
1285.1968058939365 1192.1133203652598
1301.7664581382971 1183.0736158339582
